Sigla,Residenti,Superficie
RM,4353738,5352
MI,3218201,1579
NA,3107006,1171
TO,2277857,6831
PA,1268217,4992
BS,1262318,4784
BA,1260142,3825
CT,1113303,3552
BG,1109933,2723
SA,1104731,4917
FI,1014423,3514
BO,1009210,3703
PD,936274,2142
CE,924166,2639
VR,921557,3121
VA,890043,1199
TV,885972,2477
MB,868859,405
VI,865082,2723
VE,854275,2462
GE,850071,1839
LE,802082,2759
CS,711739,665
MO,700862,2689
PG,66069,6334
ME,636653,3247
FG,628556,6971
CO,60019,1288
CN,589108,6903
TA,583479,2437
LT,574891,2251
CA,560373,457
RC,553861,3183
PV,547251,2965
TN,538604,6207
RE,532483,2293
UD,531466,4904
BZ,524256,74
FR,493067,3244
AN,474124,194
PR,448899,3449
AG,442049,3042
TP,434476,246
AL,426658,3562
AV,423506,2792
PI,421851,2444
MN,41261,2339
SR,402822,2109
BR,397083,1839
FC,394067,2377
BT,392546,1539
RA,391414,1858
LU,390042,1773
CH,389169,2588
PZ,37068,6548
NO,370143,1339
CZ,362343,2391
PU,360711,2564
CR,359388,1771
FE,348362,2631
AR,344374,3235
LC,339238,816
LI,337334,1211
RN,336786,867
SS,333116,4282
RG,321359,1614
PE,321309,1225
VT,319008,3612
MC,318921,2774
PN,312051,2273
TE,309859,1948
AQ,30191,5034
PT,291839,965
PC,286758,2589
BN,279675,2071
SV,279408,1545
CL,26971,2125
SI,268341,3821
PO,254608,365
RO,238588,179
TS,234682,212
LO,229338,782
TR,228218,2122
CB,224644,2909
GR,223045,4504
SP,220698,881
AT,216677,1511
IM,21513,1156
AP,20945,1228
BL,205781,3678
MT,199685,3446
MS,19658,1156
SO,181437,3212
BI,178551,914
KR,175566,1717
FM,174849,860
VC,173868,2088
EN,168052,2562
VV,161619,1139
OR,160746,304
OT,160672,3399
VB,159664,2255
RI,15742,2749
NU,156096,3934
GO,139673,466
AO,126883,3263
CI,126324,1495
VS,98623,1516
IS,85805,1524
OG,57185,1854
